ID,first,last,type,username,password,role
7447677,Cristiano,Ronaldo,admin,Cristiano.R,2255,admin
9898118,Lionel,Messi,student,Lionel.M,2977,lead
5662557,Manuel,Neuer,student,Manuel.N,1244,student
5687866,Robert,Lewandowski,student,Robert.L,8176,student
3557832,Gareth,Bale,student,Gareth.B,9462,student
2592572,Thibaut,Courtois,student,Thibaut.C,1985,student
1554306,Eden,Hazard,student,Eden.H,9106,student
4788888,Thiago,Silva,student,Thiago.S,5052,student
1863421,Sergio,Ramos,student,Sergio.R,7228,student
4865631,Paul,Pogba,student,Paul.P,6956,student
7476758,Antoine,Griezmann,student,Antoine.G,6795,student
3938213,Marco,Reus,student,Marco.R,8512,student
8382345,Toni,Kroos,student,Toni.K,7595,student
1042748,Mats,Hummels,student,Mats.H,1111,student
1228464,Hugo,Lloris,student,Hugo.L,2193,student
4850789,Giorgio,Chiellini,student,Giorgio.C,1201,student
5484541,Philipp,Lahm,student,Philipp.L,4214,student
7998314,Gianluigi,Buffon,student,Gianluigi.B,2351,student
5086282,Leonardo,Bonucci,student,Leonardo.B,9413,student
8466074,Arjen,Robben,faculty,Arjen.R,6779,advisor
2567260,Paulo,Dybala,faculty,Paulo.D,1312,faculty
8347432,Marco,Verratti,faculty,Marco.V,8780,faculty
4720327,David,Alaba,faculty,David.A,3861,faculty
7525643,Henrikh,Mkhitaryan,faculty,Henrikh.M,2636,faculty
2472659,Karim,Benzema,faculty,Karim.B,3828,faculty
