ID,username,password,role
7447677,Cristiano.R,2255,admin
9898118,Lionel.M,2977,student
5662557,Manuel.N,1244,student
5687866,Robert.L,8176,student
3557832,Gareth.B,9462,student
2592572,Thibaut.C,1985,student
1554306,Eden.H,9106,student
4788888,Thiago.S,5052,student
1863421,Sergio.R,7228,student
4865631,Paul.P,6956,student
7476758,Antoine.G,6795,student
3938213,Marco.R,8512,student
8382345,Toni.K,7595,student
1042748,Mats.H,1111,student
1228464,Hugo.L,2193,student
4850789,Giorgio.C,1201,student
5484541,Philipp.L,4214,student
7998314,Gianluigi.B,2351,student
5086282,Leonardo.B,9413,student
8466074,Arjen.R,6779,faculty
2567260,Paulo.D,1312,faculty
8347432,Marco.V,8780,faculty
4720327,David.A,3861,faculty
7525643,Henrikh.M,2636,faculty
2472659,Karim.B,3828,faculty
