ID,first,last,type
7447677,Cristiano,Ronaldo,admin
9898118,Lionel,Messi,student
5662557,Manuel,Neuer,student
5687866,Robert,Lewandowski,student
3557832,Gareth,Bale,student
2592572,Thibaut,Courtois,student
1554306,Eden,Hazard,student
4788888,Thiago,Silva,student
1863421,Sergio,Ramos,student
4865631,Paul,Pogba,student
7476758,Antoine,Griezmann,student
3938213,Marco,Reus,student
8382345,Toni,Kroos,student
1042748,Mats,Hummels,student
1228464,Hugo,Lloris,student
4850789,Giorgio,Chiellini,student
5484541,Philipp,Lahm,student
7998314,Gianluigi,Buffon,student
5086282,Leonardo,Bonucci,student
8466074,Arjen,Robben,faculty
2567260,Paulo,Dybala,faculty
8347432,Marco,Verratti,faculty
4720327,David,Alaba,faculty
7525643,Henrikh,Mkhitaryan,faculty
2472659,Karim,Benzema,faculty
